date,ESH2018_Settle
2016-12-16,2246.5
2016-12-19,2251.5
2016-12-20,2258
2016-12-21,2251.75
2016-12-22,2250
2016-12-23,2251.25
2016-12-27,2252.25
2016-12-28,2236.5
2016-12-29,2236.25
2016-12-30,2227.25
2017-01-03,2243.5
2017-01-04,2255.25
2017-01-05,2255.25
2017-01-06,2262.25
2017-01-09,2255.75
2017-01-10,2254.5
2017-01-11,2261.25
2017-01-12,2254
2017-01-13,2263.25
2017-01-17,2253.5
2017-01-18,2257.5
2017-01-19,2254
2017-01-20,2258.5
2017-01-23,2254.25
2017-01-24,2267
2017-01-25,2286.5
2017-01-26,2287
2017-01-27,2282
2017-01-30,2269
2017-01-31,2267.5
2017-02-01,2267.25
2017-02-02,2262.25
2017-02-03,2277.75
2017-02-06,2273.25
2017-02-07,2275.25
2017-02-08,2277
2017-02-09,2291
2017-02-10,2299.5
2017-02-13,2312.75
2017-02-14,2324.25
2017-02-15,2335.5
2017-02-16,2331
2017-02-17,2333.5
2017-02-21,2346
2017-02-22,2347
2017-02-23,2349
2017-02-24,2351
2017-02-27,2354.5
2017-02-28,2349.25
2017-03-01,2380.75
2017-03-02,2369.75
2017-03-03,2369.25
2017-03-06,2363.5
2017-03-07,2354.5
2017-03-08,2353.5
2017-03-09,2355.5
2017-03-10,2361
2017-03-13,2364
2017-03-14,2355.5
2017-03-15,2372.75
2017-03-16,2371.25
2017-03-17,2367
2017-03-20,2363
2017-03-21,2335
2017-03-22,2335
2017-03-23,2332.5
2017-03-24,2337.25
2017-03-27,2331
2017-03-28,2344
2017-03-29,2350
2017-03-30,2357.5
2017-03-31,2352.25
2017-04-03,2349
2017-04-04,2349.5
2017-04-05,2339.75
2017-04-06,2347
2017-04-07,2345.25
2017-04-10,2345.5
2017-04-11,2344
2017-04-12,2333.5
2017-04-13,2320
2017-04-17,2337.5
2017-04-18,2329.75
2017-04-19,2326.25
2017-04-20,2344.75
2017-04-21,2340
2017-04-24,2363
2017-04-25,2378.5
2017-04-26,2376
2017-04-27,2379.75
2017-04-28,2374.25
2017-05-01,2380.75
2017-05-02,2379.25
2017-05-03,2376.5
2017-05-04,2379
2017-05-05,2391.25
2017-05-08,2388.5
2017-05-09,2386.5
2017-05-10,2388.25
2017-05-11,2383.5
2017-05-12,2381
2017-05-15,2390.5
2017-05-16,2389.5
2017-05-17,2349
2017-05-18,2355
2017-05-19,2373.25
2017-05-22,2384.5
2017-05-23,2389.75
2017-05-24,2393.5
2017-05-25,2405
2017-05-26,2405.75
2017-05-30,2402.75
2017-05-31,2403.25
2017-06-01,2422
2017-06-02,2430
2017-06-05,2427.25
2017-06-06,2423.5
2017-06-07,2424.75
2017-06-08,2425.25
2017-06-09,2423.75
2017-06-12,2422
2017-06-13,2433.5
2017-06-14,2431
2017-06-15,2428
2017-06-16,2426.75
2017-06-19,2443.25
2017-06-20,2433.25
2017-06-21,2429.5
2017-06-22,2428
2017-06-23,2431.25
2017-06-26,2432.25
2017-06-27,2417
2017-06-28,2435
2017-06-29,2416.5
2017-06-30,2417.25
2017-07-03,2421.5
2017-07-05,2424.5
2017-07-06,2404.75
2017-07-07,2419
2017-07-10,2421
2017-07-11,2420.75
2017-07-12,2436.25
2017-07-13,2441.75
2017-07-14,2452.25
2017-07-17,2454.75
2017-07-18,2454
2017-07-19,2467.5
2017-07-20,2467.25
2017-07-21,2465.5
2017-07-24,2464.5
2017-07-25,2470.5
2017-07-26,2469.75
2017-07-27,2468.25
2017-07-28,2466.5
2017-07-31,2464.25
2017-08-01,2468.75
2017-08-02,2470
2017-08-03,2468
2017-08-04,2468.5
2017-08-07,2473.75
2017-08-08,2469.25
2017-08-09,2469.5
2017-08-10,2434
2017-08-11,2436.5
2017-08-14,2460
2017-08-15,2460.25
2017-08-16,2464
2017-08-17,2426
2017-08-18,2423.25
2017-08-21,2424.5
2017-08-22,2449.25
2017-08-23,2438
2017-08-24,2437.25
2017-08-25,2439
2017-08-28,2440.25
2017-08-29,2443.75
2017-08-30,2452.5
2017-08-31,2467
2017-09-01,2471
2017-09-05,2456.75
2017-09-06,2462.5
2017-09-07,2463.5
2017-09-08,2459.75
2017-09-11,2484.75
2017-09-12,2493
2017-09-13,2493.5
2017-09-14,2493.25
2017-09-15,2496
2017-09-18,2501.75
2017-09-19,2504
2017-09-20,2504.5
2017-09-21,2500.25
2017-09-22,2498.75
2017-09-25,2496.5
2017-09-26,2495
2017-09-27,2503.75
2017-09-28,2507.25
2017-09-29,2515.5
2017-10-02,2526
2017-10-03,2532.5
2017-10-04,2536
2017-10-05,2550
2017-10-06,2545.5
2017-10-09,2544
2017-10-10,2548.75
2017-10-11,2553.25
2017-10-12,2549.75
2017-10-13,2553
2017-10-16,2556.5
2017-10-17,2557.25
2017-10-18,2560.5
2017-10-19,2561
2017-10-20,2574.5
2017-10-23,2563.75
2017-10-24,2567.5
2017-10-25,2558.75
2017-10-26,2561.75
2017-10-27,2578.5
2017-10-30,2568.5
2017-10-31,2573
