date,ESZ2017_Settle
2016-12-16,2240.75
2016-12-19,2245.5
2016-12-20,2252
2016-12-21,2246
2016-12-22,2244
2016-12-23,2245.5
2016-12-27,2246.25
2016-12-28,2230.5
2016-12-29,2230.25
2016-12-30,2221.25
2017-01-03,2237.75
2017-01-04,2249.25
2017-01-05,2249.25
2017-01-06,2256.5
2017-01-09,2250
2017-01-10,2248.5
2017-01-11,2255.25
2017-01-12,2248
2017-01-13,2257.5
2017-01-17,2247.75
2017-01-18,2251.75
2017-01-19,2248.25
2017-01-20,2252.5
2017-01-23,2248.5
2017-01-24,2261
2017-01-25,2280.75
2017-01-26,2281
2017-01-27,2276.25
2017-01-30,2263
2017-01-31,2261.5
2017-02-01,2261.25
2017-02-02,2262.25
2017-02-03,2277.75
2017-02-06,2273.25
2017-02-07,2275.25
2017-02-08,2277
2017-02-09,2291
2017-02-10,2299.5
2017-02-13,2313.25
2017-02-14,2324.75
2017-02-15,2338.5
2017-02-16,2334
2017-02-17,2336.5
2017-02-21,2349
2017-02-22,2350
2017-02-23,2352
2017-02-24,2354
2017-02-27,2357.5
2017-02-28,2352.25
2017-03-01,2384
2017-03-02,2373
2017-03-03,2372.25
2017-03-06,2366.5
2017-03-07,2357.75
2017-03-08,2356.25
2017-03-09,2358.5
2017-03-10,2363.75
2017-03-13,2367
2017-03-14,2358.25
2017-03-15,2375.75
2017-03-16,2374
2017-03-17,2370
2017-03-20,2365
2017-03-21,2337
2017-03-22,2337
2017-03-23,2334.5
2017-03-24,2339.25
2017-03-27,2333
2017-03-28,2346
2017-03-29,2352
2017-03-30,2359.5
2017-03-31,2354.25
2017-04-03,2351
2017-04-04,2351.5
2017-04-05,2341.75
2017-04-06,2349
2017-04-07,2347.25
2017-04-10,2347.5
2017-04-11,2346
2017-04-12,2335.5
2017-04-13,2322
2017-04-17,2339.5
2017-04-18,2331.75
2017-04-19,2328.25
2017-04-20,2346.75
2017-04-21,2342
2017-04-24,2365
2017-04-25,2380.5
2017-04-26,2378
2017-04-27,2381.75
2017-04-28,2376.25
2017-05-01,2382.75
2017-05-02,2381.25
2017-05-03,2378.5
2017-05-04,2381
2017-05-05,2393.25
2017-05-08,2390.5
2017-05-09,2388.5
2017-05-10,2390.25
2017-05-11,2385.5
2017-05-12,2383
2017-05-15,2392.5
2017-05-16,2391.5
2017-05-17,2351
2017-05-18,2357
2017-05-19,2375.25
2017-05-22,2386.75
2017-05-23,2392
2017-05-24,2396
2017-05-25,2407.5
2017-05-26,2408
2017-05-30,2405
2017-05-31,2405.5
2017-06-01,2424.5
2017-06-02,2432.5
2017-06-05,2429.5
2017-06-06,2426
2017-06-07,2427
2017-06-08,2427.5
2017-06-09,2425.75
2017-06-12,2423.75
2017-06-13,2435.5
2017-06-14,2432.75
2017-06-15,2429.75
2017-06-16,2428.5
2017-06-19,2445
2017-06-20,2435.25
2017-06-21,2431.5
2017-06-22,2429.75
2017-06-23,2433
2017-06-26,2434
2017-06-27,2418.75
2017-06-28,2436.5
2017-06-29,2418
2017-06-30,2419
2017-07-03,2423
2017-07-05,2426
2017-07-06,2406.5
2017-07-07,2420.5
2017-07-10,2422.5
2017-07-11,2422.25
2017-07-12,2438
2017-07-13,2443.5
2017-07-14,2454
2017-07-17,2456.5
2017-07-18,2455.5
2017-07-19,2469.25
2017-07-20,2469
2017-07-21,2467.25
2017-07-24,2466.25
2017-07-25,2472.25
2017-07-26,2471.5
2017-07-27,2470
2017-07-28,2468.25
2017-07-31,2466
2017-08-01,2470.25
2017-08-02,2471.5
2017-08-03,2469.75
2017-08-04,2470
2017-08-07,2475.5
2017-08-08,2470.75
2017-08-09,2471
2017-08-10,2435.5
2017-08-11,2438.25
2017-08-14,2461.5
2017-08-15,2461.75
2017-08-16,2465.5
2017-08-17,2427.5
2017-08-18,2424.75
2017-08-21,2426
2017-08-22,2450.75
2017-08-23,2439.5
2017-08-24,2438.75
2017-08-25,2440.5
2017-08-28,2441.75
2017-08-29,2445
2017-08-30,2453.75
2017-08-31,2468
2017-09-01,2472.25
2017-09-05,2458
2017-09-06,2463.75
2017-09-07,2464.75
2017-09-08,2461
2017-09-11,2485.75
2017-09-12,2494.25
2017-09-13,2494.75
2017-09-14,2494.25
2017-09-15,2497.25
2017-09-18,2502.75
2017-09-19,2504.75
2017-09-20,2505.25
2017-09-21,2501
2017-09-22,2499.5
2017-09-25,2497
2017-09-26,2495.5
2017-09-27,2504.5
2017-09-28,2507.75
2017-09-29,2516
2017-10-02,2526.25
2017-10-03,2532.75
2017-10-04,2536.25
2017-10-05,2550
2017-10-06,2545
2017-10-09,2543.75
2017-10-10,2548.5
2017-10-11,2553
2017-10-12,2549.5
2017-10-13,2552.75
2017-10-16,2556.25
2017-10-17,2557
2017-10-18,2560
2017-10-19,2560.5
2017-10-20,2574
2017-10-23,2563.5
2017-10-24,2567.25
2017-10-25,2558.5
2017-10-26,2561.5
2017-10-27,2578.5
2017-10-30,2568.25
2017-10-31,2572.75
