Date,Contracts,Call/Put,Expiration,Strike,FutPrice,OptPrice,r
2017-10-31,245,2,2017-11-20,2545,2572.75,9.60,0.009705
2017-10-31,250,2,2017-11-20,2535,2572.75,8.10,0.009705
2017-10-31,250,2,2017-11-20,2525,2572.75,6.90,0.009705
2017-10-31,249,2,2017-11-30,2555,2572.75,16.60,0.01002
2017-10-31,251,2,2017-12-15,2535,2572.75,19.20,0.01127
2017-10-31,257,2,2017-12-15,2525,2572.75,17.40,0.01127
2017-10-31,252,2,2017-12-15,2515,2572.75,15.80,0.01127
2017-10-31,253,2,2017-12-15,2505,2572.75,14.30,0.01127
2017-10-31,400,2,2017-12-15,2435,2572.75,7.90,0.01127
2017-10-31,250,2,2017-12-15,2485,2572.75,12.00,0.01127
2017-10-31,244,2,2017-12-15,2475,2572.75,11.10,0.01127
2017-10-31,200,2,2017-12-15,2495,2572.75,13.00,0.01127
2017-10-31,510,2,2017-12-29,2425,2573,10.10,0.010485714
2017-10-31,249,1,2017-11-30,2595,2572.75,9.90,0.01002
2017-10-31,260,1,2017-12-15,2575,2572.75,28.10,0.01127
2017-10-31,254,1,2017-12-15,2605,2572.75,12.80,0.01127
2017-10-31,254,1,2017-12-15,2615,2572.75,9.40,0.01127
2017-10-31,255,1,2017-12-29,2625,2573,10.20,0.010485714
2017-10-31,255,1,2017-12-29,2635,2573,7.70,0.010485714
2017-10-31,255,1,2017-12-29,2645,2573,5.80,0.010485714
2017-10-31,-239,2,2017-11-20,2060,2572.75,0.10,0.009705
2017-10-31,-250,2,2017-11-20,2020,2572.75,0.10,0.009705
2017-10-31,-230,2,2017-11-20,2100,2572.75,0.15,0.009705
2017-10-31,-589,2,2017-11-20,2140,2572.75,0.20,0.009705
2017-10-31,-525,2,2017-11-20,2160,2572.75,0.25,0.009705
2017-10-31,-730,2,2017-11-20,2120,2572.75,0.20,0.009705
2017-10-31,-479,2,2017-11-20,2200,2572.75,0.35,0.009705
2017-10-31,-737,2,2017-11-20,2180,2572.75,0.30,0.009705
2017-10-31,-363,2,2017-11-20,2300,2572.75,0.70,0.009705
2017-10-31,-718,2,2017-11-20,2240,2572.75,0.45,0.009705
2017-10-31,-994,2,2017-11-20,2220,2572.75,0.40,0.009705
2017-10-31,-939,2,2017-11-20,2260,2572.75,0.50,0.009705
2017-10-31,-896,2,2017-11-20,2280,2572.75,0.60,0.009705
2017-10-31,-250,2,2017-11-20,2460,2572.75,2.95,0.009705
2017-10-31,-798,2,2017-11-20,2340,2572.75,0.95,0.009705
2017-10-31,-667,2,2017-11-20,2380,2572.75,1.30,0.009705
2017-10-31,-1078,2,2017-11-20,2320,2572.75,0.85,0.009705
2017-10-31,-490,2,2017-11-20,2440,2572.75,2.35,0.009705
2017-10-31,-844,2,2017-11-20,2400,2572.75,1.55,0.009705
2017-10-31,-695,2,2017-11-20,2420,2572.75,1.90,0.009705
2017-10-31,-1345,2,2017-11-20,2360,2572.75,1.10,0.009705
2017-10-31,-548,2,2017-11-30,2120,2572.75,0.45,0.01002
2017-10-31,-373,2,2017-11-30,2200,2572.75,0.70,0.01002
2017-10-31,-498,2,2017-11-30,2160,2572.75,0.55,0.01002
2017-10-31,-489,2,2017-11-30,2180,2572.75,0.60,0.01002
2017-10-31,-509,2,2017-11-30,2220,2572.75,0.80,0.01002
2017-10-31,-498,2,2017-11-30,2260,2572.75,1.10,0.01002
2017-10-31,-693,2,2017-11-30,2280,2572.75,1.25,0.01002
2017-10-31,-538,2,2017-11-30,2360,2572.75,2.25,0.01002
2017-10-31,-455,2,2017-11-30,2380,2572.75,2.70,0.01002
2017-10-31,-938,2,2017-11-30,2300,2572.75,1.40,0.01002
2017-10-31,-750,2,2017-11-30,2340,2572.75,1.90,0.01002
